"Date","Price","Open","High","Low","Vol.","Change %"
"28-08-2024","4,506.05","4,498.75","4,562.50","4,457.30","1.85M","0.20%"
"27-08-2024","4,497.15","4,505.00","4,510.00","4,486.80","930.70K","-0.12%"
"26-08-2024","4,502.45","4,489.00","4,552.15","4,485.00","1.84M","0.86%"
"23-08-2024","4,463.90","4,500.00","4,506.00","4,455.00","1.81M","-0.85%"
"22-08-2024","4,502.00","4,560.00","4,560.95","4,497.20","1.83M","-1.09%"
"21-08-2024","4,551.50","4,518.00","4,560.00","4,492.55","1.90M","0.62%"
"20-08-2024","4,523.30","4,505.00","4,565.00","4,500.00","2.21M","0.74%"
"19-08-2024","4,490.00","4,421.00","4,494.25","4,390.35","2.06M","1.67%"
"16-08-2024","4,416.05","4,350.00","4,427.00","4,325.10","3.46M","2.81%"
"14-08-2024","4,295.25","4,209.00","4,306.20","4,188.15","3.23M","2.34%"
"13-08-2024","4,196.95","4,213.00","4,234.00","4,183.00","1.50M","0.03%"
"12-08-2024","4,195.65","4,230.00","4,239.00","4,186.35","936.91K","-0.78%"
"09-08-2024","4,228.75","4,217.00","4,253.65","4,205.55","1.30M","1.35%"
"08-08-2024","4,172.55","4,181.00","4,232.00","4,160.00","2.44M","-0.66%"
"07-08-2024","4,200.45","4,228.00","4,244.95","4,180.30","1.24M","0.70%"
"06-08-2024","4,171.20","4,170.95","4,258.25","4,160.80","2.20M","0.39%"
"05-08-2024","4,155.05","4,239.00","4,239.00","4,110.50","2.79M","-2.99%"
"02-08-2024","4,283.05","4,365.00","4,398.00","4,270.00","2.81M","-2.59%"
"01-08-2024","4,397.10","4,399.40","4,419.30","4,365.05","2.20M","0.27%"
"31-07-2024","4,385.35","4,350.00","4,414.00","4,345.00","2.33M","0.46%"
"30-07-2024","4,365.35","4,391.10","4,398.00","4,327.30","1.80M","-0.36%"
"29-07-2024","4,381.10","4,415.00","4,431.00","4,371.00","1.75M","-0.15%"
"26-07-2024","4,387.85","4,350.00","4,422.45","4,337.05","3.55M","1.51%"
"25-07-2024","4,322.50","4,295.00","4,343.00","4,274.20","2.81M","0.38%"
"24-07-2024","4,306.25","4,287.50","4,339.10","4,268.10","1.81M","0.09%"
"23-07-2024","4,302.35","4,283.00","4,361.70","4,266.30","2.37M","0.35%"
"22-07-2024","4,287.35","4,299.95","4,319.95","4,265.00","1.90M","-0.35%"
"19-07-2024","4,302.40","4,317.40","4,358.75","4,285.25","3.90M","-0.30%"
"18-07-2024","4,315.55","4,160.00","4,325.00","4,160.00","5.61M","3.28%"
"16-07-2024","4,178.45","4,172.00","4,194.55","4,144.90","2.03M","0.22%"
"15-07-2024","4,169.20","4,235.70","4,240.00","4,157.05","4.85M","-0.35%"
"12-07-2024","4,183.95","3,980.00","4,199.95","3,971.30","13.51M","6.63%"
"11-07-2024","3,923.70","3,931.00","3,980.00","3,895.60","4.87M","0.37%"
"10-07-2024","3,909.15","3,983.70","4,003.30","3,902.00","2.67M","-1.92%"
"09-07-2024","3,985.50","3,985.00","4,006.95","3,975.10","1.31M","-0.19%"
"08-07-2024","3,993.20","4,022.00","4,031.25","3,978.05","1.76M","-0.46%"
"05-07-2024","4,011.80","4,010.00","4,026.75","3,988.00","1.67M","-0.23%"
"04-07-2024","4,020.95","3,999.85","4,047.35","3,982.10","2.52M","1.40%"
"03-07-2024","3,965.25","4,020.00","4,026.10","3,955.00","1.82M","-1.30%"
"02-07-2024","4,017.40","3,993.60","4,023.40","3,982.55","2.31M","0.99%"
"01-07-2024","3,978.20","3,884.00","4,001.70","3,884.00","2.66M","1.90%"
"28-06-2024","3,904.15","3,917.80","3,960.00","3,897.85","2.73M","-0.76%"
"27-06-2024","3,934.15","3,831.00","3,942.00","3,818.10","4.53M","2.03%"
"26-06-2024","3,855.85","3,844.50","3,866.95","3,841.00","1.64M","0.45%"
"25-06-2024","3,838.45","3,817.00","3,847.65","3,792.90","1.34M","0.57%"
"24-06-2024","3,816.80","3,808.75","3,857.00","3,791.30","1.70M","0.16%"
"21-06-2024","3,810.75","3,827.00","3,877.80","3,798.05","4.64M","0.62%"
"20-06-2024","3,787.25","3,796.00","3,809.95","3,780.05","2.85M","-0.38%"
"19-06-2024","3,801.70","3,827.65","3,833.85","3,792.95","1.51M","-0.35%"
"18-06-2024","3,815.10","3,826.05","3,842.00","3,795.05","1.77M","-0.44%"
"14-06-2024","3,832.05","3,889.00","3,889.00","3,828.00","1.86M","-1.19%"
"13-06-2024","3,878.15","3,856.80","3,890.00","3,852.00","1.93M","1.21%"
"12-06-2024","3,831.65","3,874.40","3,893.50","3,827.45","2.18M","-0.53%"
"11-06-2024","3,852.10","3,845.00","3,879.95","3,841.00","1.42M","-0.17%"
"10-06-2024","3,858.70","3,895.00","3,905.90","3,841.90","1.73M","-0.91%"
"07-06-2024","3,893.95","3,837.30","3,915.00","3,837.30","4.55M","1.66%"
"06-06-2024","3,830.40","3,781.00","3,839.90","3,741.50","4.33M","2.24%"
"05-06-2024","3,746.45","3,716.00","3,783.80","3,700.00","2.80M","0.85%"
"04-06-2024","3,715.00","3,700.00","3,745.00","3,591.50","3.40M","0.33%"
"03-06-2024","3,702.85","3,732.80","3,751.55","3,696.00","2.16M","0.87%"
"31-05-2024","3,670.95","3,740.00","3,749.80","3,653.75","10.96M","-1.74%"
"30-05-2024","3,736.10","3,777.00","3,794.40","3,715.45","2.92M","-1.78%"
"29-05-2024","3,803.65","3,848.90","3,848.90","3,800.00","1.57M","-0.94%"
"28-05-2024","3,839.90","3,858.00","3,870.00","3,830.00","1.80M","-0.19%"
"27-05-2024","3,847.05","3,855.00","3,908.35","3,841.35","1.84M","-0.06%"
"24-05-2024","3,849.50","3,878.25","3,883.80","3,844.30","1.31M","-1.13%"
"23-05-2024","3,893.45","3,840.95","3,905.00","3,825.50","2.10M","1.60%"
"22-05-2024","3,832.00","3,835.00","3,841.25","3,817.55","1.31M","0.31%"
"21-05-2024","3,820.20","3,830.60","3,844.75","3,810.05","1.91M","-0.81%"
"18-05-2024","3,851.45","3,847.00","3,861.90","3,840.00","91.07K","0.45%"
"17-05-2024","3,834.10","3,919.00","3,920.00","3,830.00","2.77M","-1.71%"
"16-05-2024","3,900.95","3,891.10","3,909.50","3,843.50","2.60M","0.53%"
"15-05-2024","3,880.40","3,904.50","3,926.95","3,875.50","1.12M","-0.53%"
"14-05-2024","3,901.20","3,936.00","3,945.80","3,892.90","1.06M","-1.18%"
"13-05-2024","3,947.80","3,884.50","3,955.00","3,870.00","931.33K","1.38%"
"10-05-2024","3,893.90","3,962.60","3,973.60","3,885.05","1.67M","-1.67%"
"09-05-2024","3,960.20","3,962.00","3,971.00","3,910.05","1.73M","-0.42%"
"08-05-2024","3,976.95","3,961.00","3,984.30","3,938.60","1.25M","-0.05%"
"07-05-2024","3,978.95","3,930.80","3,988.00","3,913.50","2.06M","1.48%"
"06-05-2024","3,921.05","3,853.00","3,939.95","3,853.00","2.05M","2.02%"
"03-05-2024","3,843.40","3,890.15","3,893.60","3,797.60","2.96M","-0.52%"
"02-05-2024","3,863.30","3,778.05","3,871.10","3,778.05","2.49M","1.12%"
"30-04-2024","3,820.65","3,872.00","3,881.75","3,810.00","2.20M","-1.28%"
"29-04-2024","3,870.20","3,838.00","3,877.80","3,819.20","1.11M","1.28%"
"26-04-2024","3,821.35","3,855.15","3,876.80","3,802.55","2.04M","-0.80%"
"25-04-2024","3,852.20","3,811.20","3,873.65","3,811.00","2.86M","0.55%"
"24-04-2024","3,831.05","3,890.00","3,898.00","3,824.45","1.32M","-1.13%"
"23-04-2024","3,874.70","3,877.05","3,895.00","3,860.60","1.81M","0.26%"
"22-04-2024","3,864.60","3,837.00","3,878.00","3,812.00","1.73M","1.00%"
"19-04-2024","3,826.20","3,838.00","3,852.55","3,800.90","2.96M","-0.93%"
"18-04-2024","3,862.00","3,876.80","3,936.00","3,850.00","3.48M","-0.28%"
"16-04-2024","3,872.80","3,902.00","3,928.70","3,862.85","3.05M","-1.74%"
"15-04-2024","3,941.20","4,001.40","4,064.20","3,919.05","4.20M","-1.50%"
"12-04-2024","4,001.40","3,971.00","4,013.35","3,945.50","4.35M","0.42%"
"10-04-2024","3,984.65","3,956.40","3,990.20","3,918.00","2.10M","0.97%"
"09-04-2024","3,946.55","3,984.00","4,015.85","3,925.05","1.88M","-0.65%"
"08-04-2024","3,972.55","3,983.00","4,032.65","3,960.00","2.30M","-0.17%"
"05-04-2024","3,979.25","3,978.00","4,002.00","3,960.50","1.64M","-0.60%"
"04-04-2024","4,003.30","3,975.90","4,028.65","3,935.25","3.39M","1.42%"
"03-04-2024","3,947.30","3,851.00","3,981.00","3,851.00","3.97M","1.63%"
"02-04-2024","3,883.80","3,890.00","3,909.85","3,873.00","2.14M","-0.84%"
"01-04-2024","3,916.75","3,897.70","3,933.30","3,888.05","1.57M","1.04%"
"28-03-2024","3,876.30","3,850.10","3,915.00","3,840.50","4.31M","0.92%"
"27-03-2024","3,840.90","3,888.50","3,895.00","3,829.40","1.97M","-0.94%"
"26-03-2024","3,877.50","3,875.00","3,946.70","3,871.45","3.44M","-0.85%"
"22-03-2024","3,910.90","3,897.00","3,938.00","3,855.00","5.85M","-1.56%"
"21-03-2024","3,972.95","3,990.05","4,008.40","3,948.00","3.83M","0.05%"
"20-03-2024","3,970.90","3,986.00","4,018.00","3,960.20","1.82M","-0.16%"
"19-03-2024","3,977.30","4,051.25","4,058.00","3,966.60","8.93M","-4.22%"
"18-03-2024","4,152.50","4,215.25","4,254.75","4,117.85","1.53M","-1.58%"
"15-03-2024","4,219.25","4,192.60","4,239.00","4,177.00","3.37M","0.28%"
"14-03-2024","4,207.60","4,153.45","4,225.00","4,086.00","2.92M","1.41%"
"13-03-2024","4,149.00","4,205.00","4,241.00","4,131.90","2.84M","-1.03%"
"12-03-2024","4,192.25","4,122.35","4,229.95","4,121.05","4.04M","1.70%"
"11-03-2024","4,122.35","4,089.00","4,153.00","4,089.00","2.30M","0.33%"
"07-03-2024","4,108.60","4,065.00","4,124.00","4,037.70","2.69M","1.09%"
"06-03-2024","4,064.30","3,994.05","4,072.00","3,958.45","1.74M","1.30%"
"05-03-2024","4,012.10","4,062.00","4,064.00","3,980.00","2.07M","-1.68%"
"04-03-2024","4,080.70","4,105.00","4,117.90","4,075.90","1.75M","-0.64%"
"02-03-2024","4,107.10","4,125.05","4,129.50","4,091.10","65.06K","0.31%"
"01-03-2024","4,094.35","4,107.20","4,140.00","4,086.80","2.04M","-0.02%"
"29-02-2024","4,095.10","4,099.00","4,138.10","4,064.55","3.77M","-0.58%"
"28-02-2024","4,118.95","4,095.60","4,154.90","4,089.00","1.94M","0.35%"
"27-02-2024","4,104.40","3,999.00","4,124.00","3,999.00","2.96M","2.58%"
"26-02-2024","4,001.05","4,036.00","4,050.00","3,982.75","1.38M","-1.26%"
"23-02-2024","4,052.10","4,130.00","4,130.00","4,046.40","2.54M","-0.86%"
"22-02-2024","4,087.10","3,971.00","4,094.95","3,971.00","2.98M","2.40%"
"21-02-2024","3,991.50","4,013.00","4,063.35","3,980.60","1.89M","-0.97%"
"20-02-2024","4,030.65","4,082.10","4,098.00","4,010.00","1.19M","-1.78%"
"19-02-2024","4,103.80","4,123.05","4,128.30","4,055.00","772.29K","-0.59%"
"16-02-2024","4,128.30","4,113.25","4,147.95","4,100.10","1.31M","0.61%"
"15-02-2024","4,103.20","4,128.00","4,146.30","4,083.00","1.09M","0.08%"
"14-02-2024","4,100.10","4,107.00","4,114.90","4,049.50","1.39M","-1.19%"
"13-02-2024","4,149.50","4,125.45","4,170.00","4,081.50","1.26M","0.70%"
"12-02-2024","4,120.70","4,130.00","4,159.60","4,105.55","1.01M","-0.31%"
"09-02-2024","4,133.70","4,136.55","4,184.75","4,100.00","2.10M","-0.01%"
